Threads,FPS,Time
1,8.71,1.01
1,10.08,0.91
1,10.50,0.92
1,10.50,0.92
1,10.33,0.92
1,10.42,0.92
1,10.37,0.93
2,14.98,0.52
2,18.15,0.55
2,18.11,0.52
2,18.09,0.52
2,18.16,0.53
2,18.06,0.54
3,22.23,0.39
3,23.56,0.39
3,23.67,0.40
3,23.53,0.41
3,23.45,0.43
3,23.50,0.39
4,27.03,0.31
4,28.91,0.32
4,29.09,0.31
4,28.71,0.34
4,29.19,0.30
4,29.19,0.31
4,29.02,0.31
4,28.92,0.31
5,29.04,0.30
5,30.69,0.30
5,30.81,0.30
5,30.77,0.28
5,30.78,0.31
5,30.75,0.28
5,30.87,0.28
5,30.64,0.29
6,30.93,0.27
6,32.58,0.29
6,32.78,0.28
6,33.21,0.26
6,33.75,0.24
6,33.77,0.26
6,33.53,0.26
6,33.70,0.28
7,33.79,0.25
7,34.26,0.29
7,34.08,0.26
7,34.66,0.27
7,35.10,0.23
7,35.12,0.25
7,35.39,0.24
7,35.40,0.24
7,35.09,0.28
8,35.79,0.24
8,36.07,0.22
8,35.71,0.34
8,36.71,0.23
8,36.48,0.26
8,34.47,0.23
8,36.59,0.22
8,36.89,0.25
8,36.82,0.23
8,36.21,0.25
8,36.27,0.23
8,36.04,0.30
8,36.52,0.25
