Threads,FPS,Time
1,19.51,0.51
1,18.61,0.53
1,18.65,0.50
1,18.72,0.51
1,18.59,0.52
1,18.70,0.50
2,32.22,0.28
2,32.17,0.28
2,32.49,0.28
2,32.40,0.28
2,32.38,0.28
2,31.98,0.28
3,30.72,0.32
3,30.74,0.23
3,31.01,0.32
3,31.47,0.29
3,30.69,0.31
3,30.73,0.23
3,30.63,0.29
3,30.85,0.28
4,40.78,0.19
4,40.69,0.19
4,41.01,0.20
4,41.84,0.19
4,44.37,0.19
4,41.30,0.19
4,41.14,0.18
5,29.50,0.49
5,19.74,0.50
5,19.72,0.53
5,19.60,0.53
5,19.62,0.52
5,19.52,0.51
5,19.68,0.45
5,19.68,0.50
5,19.64,0.47
5,19.61,0.52
6,21.03,0.30
6,23.48,0.40
6,23.49,0.43
6,23.56,0.49
6,23.50,0.46
6,23.30,0.37
6,23.45,0.32
6,23.32,0.33
7,23.41,0.40
7,22.53,0.43
7,22.60,0.41
7,22.48,0.49
7,22.50,0.39
7,22.61,0.39
7,22.55,0.47
7,22.45,0.44
7,22.47,0.40
8,24.81,0.35
8,26.71,0.33
8,26.62,0.33
8,26.79,0.35
8,26.88,0.38
8,26.77,0.38
8,26.94,0.29
8,26.62,0.32
8,26.75,0.35
8,26.71,0.42
