Threads,FPS,Time(ms)
1,64.50,0.13
1,73.61,0.12
1,75.13,0.12
1,73.42,0.12
1,73.37,0.12
1,75.26,0.12
1,74.47,0.12
1,74.27,0.12
1,75.01,0.12
1,73.07,0.12
1,73.52,0.12
2,47.44,0.14
2,58.52,0.21
2,59.04,0.16
2,58.29,0.18
2,55.99,0.14
2,59.94,0.14
2,59.53,0.14
2,59.46,0.18
2,59.67,0.15
2,57.34,0.14
2,57.07,0.15
3,45.24,0.20
3,49.67,0.16
3,49.18,0.18
3,48.83,0.16
3,50.43,0.16
3,50.15,0.15
3,50.36,0.27
3,50.79,0.16
3,48.55,0.24
3,49.23,0.16
3,48.86,0.23
3,47.91,0.20
4,39.82,0.21
4,42.74,0.27
4,41.50,0.34
4,43.63,0.21
4,42.22,0.21
4,43.71,0.21
4,43.62,0.20
4,42.03,0.21
4,44.02,0.20
4,44.14,0.19
4,41.02,0.21
4,43.22,0.20
5,35.71,0.22
5,40.20,0.21
5,40.05,0.22
5,39.09,0.22
5,40.37,0.21
5,40.34,0.22
5,40.34,0.22
5,40.42,0.20
5,40.27,0.21
5,38.76,0.21
5,40.36,0.24
5,39.52,0.23
5,39.91,0.21
5,40.12,0.23
6,33.07,0.27
6,36.46,0.23
6,37.37,0.22
6,36.67,0.36
6,35.35,0.25
6,37.01,0.24
6,37.24,0.24
6,36.91,0.23
6,37.28,0.24
6,36.34,0.39
6,35.25,0.23
6,36.40,0.22
6,37.20,0.23
6,37.01,0.25
7,31.17,0.28
7,34.11,0.37
7,32.68,0.30
7,33.15,0.26
7,34.90,0.28
7,32.90,0.26
7,35.32,0.23
7,35.42,0.26
7,35.37,0.26
7,35.36,0.26
7,35.07,0.26
7,34.25,0.26
7,32.76,0.26
8,29.40,0.25
8,33.28,0.25
8,29.57,0.34
8,31.65,0.24
8,29.57,0.36
8,32.29,0.36
8,30.58,0.24
8,34.09,0.26
8,33.42,0.26
8,33.64,0.38
8,31.44,0.32
8,33.99,0.28
8,31.08,0.35
8,31.56,0.24
8,33.41,0.37
8,33.67,0.25
8,33.85,0.25
8,33.81,0.34
8,33.71,0.27
8,30.54,0.55
