Threads,FPS,Time(ms)
1,122.63,0.07
1,123.78,0.08
1,120.02,0.07
1,121.16,0.07
1,122.32,0.08
1,121.58,0.07
1,124.34,0.07
1,124.12,0.07
1,123.35,0.07
1,123.13,0.07
1,124.41,0.07
2,84.73,0.10
2,84.01,0.09
2,77.37,0.11
2,85.03,0.11
2,85.04,0.09
2,85.10,0.09
2,86.02,0.10
2,86.65,0.10
2,87.71,0.09
2,84.01,0.10
2,83.16,0.10
3,59.80,0.14
3,67.46,0.14
3,61.42,0.11
3,67.97,0.14
3,69.36,0.15
3,60.21,0.25
3,68.11,0.15
3,70.90,0.14
3,69.94,0.15
3,71.11,0.11
3,68.65,0.11
3,67.23,0.11
4,49.39,0.17
4,36.92,0.16
4,46.39,0.43
4,41.91,0.14
4,48.25,0.16
4,52.29,0.16
4,50.02,0.44
4,49.83,0.41
4,39.13,0.33
4,46.11,0.22
4,41.55,0.15
4,49.10,0.16
5,31.16,0.42
5,31.43,0.23
5,29.36,0.26
5,31.02,0.26
5,30.18,0.44
5,30.72,0.26
5,31.50,0.29
5,31.44,0.21
5,31.41,0.30
5,31.45,0.29
5,30.80,0.42
5,30.21,0.33
5,31.15,0.37
5,31.04,0.34
5,31.21,0.35
6,26.85,0.35
6,26.57,0.33
6,26.96,0.32
6,26.65,0.34
6,27.58,0.35
6,27.70,0.37
6,27.35,0.28
6,26.39,0.33
6,27.50,0.28
6,26.85,0.34
6,26.56,0.29
6,26.97,0.31
6,27.49,0.39
7,21.38,0.44
7,21.34,0.37
7,21.34,0.46
7,21.30,0.52
7,21.23,0.43
7,21.39,0.41
7,21.32,0.41
7,21.43,0.45
7,21.30,0.38
7,21.33,0.43
7,21.37,0.44
7,21.41,0.44
7,21.46,0.44
8,21.54,0.43
8,21.53,0.50
8,21.51,0.38
8,21.18,0.41
8,21.61,0.49
8,21.59,0.41
8,21.32,0.49
8,21.55,0.41
8,21.45,0.49
8,21.39,0.48
8,21.49,0.41
8,21.56,0.46
8,21.52,0.38
8,21.46,0.44
8,21.50,0.47
